support,weight,old_expected_count,systematic_expected_count
5,23,1.2016563904429577e-05,2.3907175189623599e-06
5,24,5.2627172527882866e-05,1.4090903880484895e-05
5,25,0.0002083905563710682,7.139180324789346e-05
5,26,0.00075350733752690079,0.00031785365993699811
5,27,0.0025086871565544173,0.001264314362717186
5,28,0.0077469114462853676,0.004552540455939523
5,29,0.022340239619095172,0.015005858007574103
5,30,0.060568899840150257,0.045738958397720006
5,31,0.15547280387285226,0.13020761773641815
5,32,0.38062851058585834,0.34968227529275298
5,33,0.89539558191955437,0.89470497758627832
5,34,2.0374531535674141,2.1996951219682548
5,35,4.5057255974999251,5.225600403863945
5,36,9.7005157595410427,12.010968779578555
5,37,20.300696655018776,26.635086999943788
5,38,41.128598183743918,56.670029806851581
5,39,80.243725395731389,114.96539224556822
5,40,150.00558596258324,221.20839444735896
5,41,267.61439267869787,402.29686599518942
5,42,454.52036523035861,690.45954097055562
5,43,734.24090008848009,1118.4725845565158
5,44,1128.5495855795541,1712.0664149529737
5,45,1652.4572277201569,2480.099668823093
5,46,2308.5089256468736,3402.9441526482615
5,47,3080.5481020755674,4419.6459583724582
5,48,3926.8217836302988,5416.9525905972105
5,49,4773.3271742661473,6229.3166253589543
5,50,5511.4046585328269,6664.3064974461631
5,51,6007.2868468873839,6562.177682604477
5,52,6131.0367992402653,5874.5560540925853
5,53,5803.1742960460642,4717.3323880901253
5,54,5040.8461075442001,3348.9666565235912
5,55,3973.8941932826101,2068.5169012810707
5,56,2810.2146937346643,1090.9385961200612
5,57,1760.5909901617847,479.65187065031967
5,58,963.61448855286767,169.8704400440993
5,59,453.03556245108155,45.814524807189429
5,60,178.86471376384239,8.4478332145896005
5,61,57.327117472711642,0.80942239744511368
5,62,14.088135597607874,0
5,63,2.3767882670570324,0
5,64,0.20815969765807774,0
6,0,0,0
6,1,0,0
6,2,0,0
6,3,0,0
6,4,0,0
6,5,0,0
6,6,0,0
6,7,0,0
6,8,0,0
6,9,0,0
6,10,0,0
6,11,0,0
6,12,0,0
6,13,0,0
6,14,0,0
6,15,0,0
6,16,4.8604962101349651e-07,0
6,17,1.1303331583827498e-05,0
6,18,0.00012720215940361889,0
6,19,0.00092137982251351731,0
6,20,0.0048362687890256403,5.9270291783074932e-06
6,21,0.019695841709482631,0.0001231271850877943
6,22,0.065250807771083136,0.0012327305989286194
6,23,0.18245662167271909,0.0079153835757815698
6,24,0.44418200511695566,0.036737479603325754
6,25,0.96771851752725901,0.13213935092387302
6,26,1.9347424606457799,0.38683113283103254
6,27,3.6262179299237047,0.95894459987574887
6,28,6.4637279559531402,2.0871726279919676
6,29,11.026094103868839,4.1306592925350092
6,30,18.031877280528178,7.657797798917712
6,31,28.326480603002313,13.519626616575902
6,32,42.859393935039158,22.785304176951968
6,33,62.543807076702194,36.60530405925654
6,34,88.064679485068126,56.235854019895783
6,35,119.97871171527427,83.116637486791078
6,36,159.30629678299778,118.73521998868181
6,37,208.29793381102186,164.84396200676034
6,38,271.78233224319854,225.24036870645571
6,39,358.51473645595729,308.1195687397913
6,40,484.4361309949519,429.32046283693245
6,41,671.06171758952303,612.37744928597783
6,42,950.59804029995598,895.32802664888573
6,43,1352.891295668504,1319.8468532931747
6,44,1922.8336158854661,1946.9435714995093
6,45,2679.8740924608273,2813.4799021046056
6,46,3675.9655669346766,3992.5441476055039
6,47,4895.6494603205938,5478.2886205494633
6,48,6394.1369339202747,7329.884674769417
6,49,8057.4116332568155,9374.091647466028
6,50,9851.4478576818656,11478.365468528475
6,51,11391.503479320425,13059.893450925978
6,52,12448.656835857788,13751.441440026927
6,53,12471.871051556716,12961.133172468433
6,54,11457.46766288137,10920.838443808108
6,55,9357.154318946421,7944.3000201163632
6,56,6836.3279726989958,5017.9970851398111
6,57,4310.1236102935527,2626.6871692404593
6,58,2386.4406323704507,1162.2253788726587
6,59,1096.4343115256543,395.7528028813868
6,60,437.76531764363847,111.07316780423741
6,61,133.1842436974618,18.71182085406533
6,62,35.953266230292165,2.8738180216504268
6,63,5.3556051892572443,0
6,64,1.0131145017495486,0
7,0,0,0
7,1,0,0
7,2,0,0
7,3,0,0
7,4,0,0
7,5,0,0
7,6,0,0
7,7,0,0
7,8,0,0
7,9,0,0
7,10,0,0
7,11,0,0
7,12,0,0
7,13,0,0
7,14,0,0
7,15,0,0
7,16,1.437721962653187e-11,0
7,17,2.9365618025750354e-10,0
7,18,3.4815937089990899e-09,0
7,19,3.0383373874281883e-08,0
7,20,2.1503777257992332e-07,0
7,21,1.2967818351876986e-06,6.93091117035986e-10
7,22,6.8627038395436025e-06,1.290340698939601e-08
7,23,3.2493014154975879e-05,1.4097514338860476e-07
7,24,0.00013952398545792477,1.1384416506707447e-06
7,25,0.00054876432961081453,7.4690507772804389e-06
7,26,0.0019919304264599089,4.1751925567169186e-05
7,27,0.0067126660045408329,0.0002046069802465275
7,28,0.021106093511319958,0.00089559053543303735
7,29,0.062195628957819243,0.0035471952095753557
7,30,0.17251945021324624,0.012835802412688909
7,31,0.45241768342226224,0.04276386115459143
7,32,1.126528921034448,0.1320778855245478
7,33,2.6741062754162126,0.38067884849784628
7,34,6.0709353689010204,1.0306175659633747
7,35,13.209965603854757,2.6368978187279617
7,36,27.575236540499994,6.4079296320245973
7,37,55.21711424853175,14.838457692973352
7,38,105.99418666524586,32.784733215623106
7,39,194.90412883235288,69.092268840442031
7,40,343.15015742224443,138.72212688828694
7,41,578.44168939475378,265.01071169645235
7,42,934.00236863038822,481.30839762044366
7,43,1446.0053166822629,830.96832605408179
7,44,2149.8416895484029,1364.8388863003102
7,45,3076.6188452006122,2136.4276383844385
7,46,4251.4864794607565,3196.5433930280342
7,47,5692.6357341680668,4589.4455534346653
7,48,7403.1439031102018,6347.3833576216393
7,49,9342.3256101373572,8469.1266390688106
7,50,11371.576709203462,10862.831430767841
7,51,13200.625532059774,13258.817620987422
7,52,14396.400408425063,15159.330272878165
7,53,14511.165811398032,15935.140538815687
7,54,13306.370866688838,15110.665853680845
7,55,10939.172606095915,12695.528623532358
7,56,7954.3208464681456,9291.0299761346396
7,57,5048.9063983448123,5822.6284591491667
7,58,2758.8502849533797,3066.6178666540736
7,59,1276.8413078908027,1326.1240781068541
7,60,489.97130648446239,455.65749132097585
7,61,151.03923582085412,117.91191925832528
7,62,35.448125944969043,20.699884415836173
7,63,5.6943456016854306,1.8769951301096328
7,64,0.47454576647861191,0
8,0,0,0
8,1,0,0
8,2,0,0
8,3,0,0
8,4,0,0
8,5,0,0
8,6,0,0
8,7,0,0
8,8,7.2715784699632854e-06,0
8,9,9.3862394485104756e-05,0
8,10,0.00063514126160064271,0
8,11,0.0029849320843692477,0
8,12,0.010905798972751487,0
8,13,0.032915702091316106,0
8,14,0.085235134807857285,0
8,15,0.19430841543751137,5.5399536686546464e-05
8,16,0.39779838494674136,0.00063342662780745736
8,17,0.73850722038867911,0.0038025012414480189
8,18,1.2682619013687182,0.015882950385545047
8,19,1.9989346936192101,0.051679102064289634
8,20,2.9938291656911744,0.13918157451130359
8,21,4.1096344344079219,0.32220528288530859
8,22,5.5460613967547765,0.65992839007812876
