support,weight,old_expected_count,systematic_expected_count
2,62,0.16,0
2,63,0,0
2,64,0,0
3,0,0,0
3,1,0,0
3,2,0,0
3,3,0,0
3,4,0,0
3,5,0,0
3,6,0,0
3,7,0,0
3,8,0,0
3,9,0,0
3,10,0,0
3,11,0,0
3,12,0,0
3,13,0,0
3,14,0,0
3,15,0,0
3,16,0,0
3,17,0,0
3,18,0,0
3,19,0,0
3,20,0,0
3,21,0,0
3,22,0,0
3,23,0,0
3,24,0,0
3,25,0,0
3,26,0,0
3,27,0,0
3,28,0.040000000000000001,0.12
3,29,0.080000000000000002,0.32000000000000001
3,30,0.47999999999999998,0.52000000000000002
3,31,0.59999999999999998,1.5600000000000001
3,32,1.1200000000000001,3.2799999999999998
3,33,1.9199999999999999,5.9199999999999999
3,34,2.2000000000000002,9.7200000000000006
3,35,5.2000000000000002,16.120000000000001
3,36,8.3599999999999994,24.48
3,37,12.720000000000001,40.520000000000003
3,38,21.52,53.240000000000002
3,39,30.719999999999999,76.120000000000005
3,40,45.439999999999998,96.680000000000007
3,41,60.280000000000001,127.48
3,42,81.239999999999995,159.88
3,43,101.31999999999999,194.03999999999999
3,44,122.59999999999999,228.63999999999999
3,45,146.16,269
3,46,170.03999999999999,316.63999999999999
3,47,202.12,351.16000000000003
3,48,243.47999999999999,367.72000000000003
3,49,277.16000000000003,348.60000000000002
3,50,318.48000000000002,308.19999999999999
3,51,338.44,243.44
3,52,337.12,165.63999999999999
3,53,312.39999999999998,98.040000000000006
3,54,263.36000000000001,49.359999999999999
3,55,197.56,19.640000000000001
3,56,136.47999999999999,6.2000000000000002
3,57,77.760000000000005,1.3999999999999999
3,58,42.079999999999998,0.32000000000000001
3,59,18.32,0
3,60,5.5999999999999996,0
3,61,1.24,0
3,62,0.28000000000000003,0
3,63,0.080000000000000002,0
3,64,0,0
4,0,0,0
4,1,0,0
4,2,0,0
4,3,0,0
4,4,0,0
4,5,0,0
4,6,0,0
4,7,0,0
4,8,0,0
4,9,0,0
4,10,0,0
4,11,0,0
4,12,0,0
4,13,0,0
4,14,0,0
4,15,0,0
4,16,0.080000000000000002,0
