mode,ensemble,projected_state,expected_pair_count,expected_low_tail_contribution,fraction_of_low_tail,max_tail_probability,projected_upper_contribution,projected_slack_factor
support_active,systematic,7:23,1905.9199999999996,0.0,0.0,0.0,0.0,0.0
support_active,systematic,4:21,97.75999999999979,0.0,0.0,0.0,0.0,0.0
support_active,systematic,6:20,413.4400000000001,0.0,0.0,0.0,0.0,0.0
support_active,systematic,4:20,127.19999999999992,0.0,0.0,0.0,0.0,0.0
support_active,systematic,4:19,57.519999999999904,0.0,0.0,0.0,0.0,0.0
support_active,systematic,3:28,922.9600000000003,0.0,0.0,0.0,0.0,0.0
support_active,systematic,5:23,909.1199999999998,0.0,0.0,0.0,0.0,0.0
support_active,systematic,2:24,69.1199999999999,0.0,0.0,0.0,0.0,0.0
support_active,systematic,3:20,55.67999999999992,0.0,0.0,0.0,0.0,0.0
support_active,systematic,8:18,160.64000000000013,0.0,0.0,0.0,0.0,0.0
support_active,systematic,3:27,830.8000000000003,0.0,0.0,0.0,0.0,0.0
support_active,systematic,4:18,70.71999999999986,0.0,0.0,0.0,0.0,0.0
support_active,systematic,8:15,29.439999999999994,0.0,0.0,0.0,0.0,0.0
support_active,systematic,2:23,39.59999999999992,0.0,0.0,0.0,0.0,0.0
support_active,systematic,2:22,45.51999999999994,0.0,0.0,0.0,0.0,0.0
support_active,systematic,4:17,35.03999999999998,0.0,0.0,0.0,0.0,0.0
support_active,systematic,8:19,88.1599999999999,0.0,0.0,0.0,0.0,0.0
support_active,systematic,2:19,24.0,0.0,0.0,0.0,0.0,0.0
support_active,systematic,8:16,56.95999999999993,0.0,0.0,0.0,0.0,0.0
support_active,systematic,8:14,26.87999999999996,0.0,0.0,0.0,0.0,0.0
support_active,systematic,2:20,28.39999999999998,0.0,0.0,0.0,0.0,0.0
support_active,systematic,2:21,24.95999999999998,0.0,0.0,0.0,0.0,0.0
support_active,systematic,6:19,105.27999999999984,0.0,0.0,0.0,0.0,0.0
support_active,systematic,8:17,29.43999999999995,0.0,0.0,0.0,0.0,0.0
support_active,systematic,7:22,497.9199999999999,0.0,0.0,0.0,0.0,0.0
support_active,systematic,2:25,31.359999999999914,0.0,0.0,0.0,0.0,0.0
support_active,systematic,2:26,52.95999999999986,0.0,0.0,0.0,0.0,0.0
support_active,systematic,3:19,8.8,0.0,0.0,0.0,0.0,0.0
support_active,systematic,8:13,11.52,0.0,0.0,0.0,0.0,0.0
support_active,systematic,6:18,177.12000000000006,0.0,0.0,0.0,0.0,0.0
support_active,systematic,5:22,184.63999999999996,0.0,0.0,0.0,0.0,0.0
support_active,systematic,1:22,5.52,0.0,0.0,0.0,0.0,0.0
support_active,systematic,7:21,127.3599999999998,0.0,0.0,0.0,0.0,0.0
support_active,systematic,1:20,4.56,0.0,0.0,0.0,0.0,0.0
support_active,systematic,1:21,4.48,0.0,0.0,0.0,0.0,0.0
support_active,systematic,1:23,4.32,0.0,0.0,0.0,0.0,0.0
support_active,systematic,2:27,37.67999999999991,0.0,0.0,0.0,0.0,0.0
support_active,systematic,2:28,36.319999999999894,0.0,0.0,0.0,0.0,0.0
support_active,systematic,1:24,2.64,0.0,0.0,0.0,0.0,0.0
support_active,systematic,6:16,46.23999999999998,0.0,0.0,0.0,0.0,0.0
support_active,systematic,1:25,2.32,0.0,0.0,0.0,0.0,0.0
support_active,systematic,3:18,7.280000000000003,0.0,0.0,0.0,0.0,0.0
support_active,systematic,5:21,39.99999999999988,0.0,0.0,0.0,0.0,0.0
support_active,systematic,7:20,25.59999999999995,0.0,0.0,0.0,0.0,0.0
support_active,systematic,1:26,0.96,0.0,0.0,0.0,0.0,0.0
support_active,systematic,6:17,16.320000000000004,0.0,0.0,0.0,0.0,0.0
support_active,systematic,7:19,8.320000000000002,0.0,0.0,0.0,0.0,0.0
support_active,systematic,5:20,5.120000000000003,0.0,0.0,0.0,0.0,0.0
support_active,systematic,6:15,2.5600000000000005,0.0,0.0,0.0,0.0,0.0
support_active,systematic,7:18,1.9200000000000008,0.0,0.0,0.0,0.0,0.0
support_active,systematic,5:19,1.9200000000000006,0.0,0.0,0.0,0.0,0.0
support_active,systematic,1:27,0.24,0.0,0.0,0.0,0.0,0.0
support_active,systematic,5:18,0.64,0.0,0.0,0.0,0.0,0.0
support_active,systematic,1:28,0.08,0.0,0.0,0.0,0.0,0.0
support_equal_root,systematic,4:0:10,1.4,0.3862548828125,0.22739896160974984,0.828125,1.1593749999999998,3.001580178244106
support_equal_root,original,8:0:11,0.6,0.3,0.29335969424510605,0.5,0.3,1.0
support_equal_root,original,8:0:12,1.32,0.25587890625000004,0.2502151923375739,0.19384765625,0.25587890625000004,1.0
support_equal_root,systematic,4:0:9,0.32,0.22389160156250001,0.13181119507859,0.6996612548828125,0.22389160156250001,1.0
support_equal_root,systematic,4:0:12,4.12,0.2178112602233887,0.12823152950471053,0.19384765625,0.79865234375,3.6667174274226997
support_equal_root,original,8:0:10,0.24,0.19874999999999998,0.19435079743738276,0.828125,0.19874999999999998,1.0
support_equal_root,systematic,4:0:11,1.68,0.16943161010742186,0.09974908775716029,0.5,0.84,4.957752567348141
support_equal_root,systematic,8:0:9,0.48,0.121875,0.07175119248820373,0.25390625,0.121875,1.0
support_equal_root,original,8:0:13,2.64,0.12181640625000001,0.1191200789717921,0.046142578125,0.12181640625000001,1.0
support_equal_root,systematic,8:0:10,1.92,0.105,0.06181641198983706,0.0546875,0.105,1.0
support_equal_root,systematic,4:0:13,7.92,0.10039443969726562,0.059104990912524046,0.046142578125,0.36544921874999997,3.6401340537582927
support_equal_root,systematic,4:0:8,0.08,0.08,0.047098218658923476,1.0,0.08,1.0
support_equal_root,systematic,8:0:8,0.12,0.07640625,0.04498247836760465,0.63671875,0.07640625,1.0
support_equal_root,systematic,2:0:10,0.08,0.060477981567382814,0.03560506499888674,0.7559747695922852,0.060477981567382814,1.0
support_equal_root,systematic,2:0:11,0.16,0.045871276855468754,0.02700569284378604,0.2866954803466797,0.045871276855468754,1.0
support_equal_root,systematic,2:0:12,0.72,0.039169607162475584,0.02306023403653013,0.05440223217010498,0.039169607162475584,1.0
support_equal_root,original,8:0:14,6.0,0.038818359375,0.037959140124488824,0.0064697265625,0.038818359375,1.0
support_equal_root,systematic,4:0:14,16.439999999999994,0.03692294836044312,0.021737563692653623,0.0064697265625,0.10636230468749996,2.8806557821219316
support_equal_root,original,4:0:10,0.16,0.0358599853515625,0.03506624779456119,0.22412490844726562,0.0358599853515625,1.0
support_equal_root,original,4:0:12,1.0,0.025709447860717775,0.025140385878768875,0.19384765625,0.19384765625,7.539938519884963
support_equal_root,original,4:0:13,2.12,0.016833305358886715,0.016460711044058374,0.046142578125,0.097822265625,5.811233357883407
support_equal_root,original,4:0:11,0.4,0.013731002807617188,0.013427075951070903,0.03432750701904297,0.013731002807617188,1.0
support_equal_root,systematic,8:0:11,2.16,0.01265625,0.007451085373775004,0.005859375,0.01265625,1.0
support_equal_root,original,4:0:14,5.32,0.008552883863449098,0.008363571316984428,0.0064697265625,0.034418945312500004,4.024250283531849
support_equal_root,systematic,2:0:13,1.44,0.008135032653808593,0.004789319334081995,0.0056493282318115234,0.008135032653808593,1.0
support_equal_root,systematic,4:0:15,24.64,0.005280740857124329,0.003108918594624408,0.00048828125,0.01203125,2.2783261526208873
support_equal_root,original,8:0:15,10.44,0.00509765625,0.004984822929555513,0.00048828125,0.00509765625,1.0
support_equal_root,systematic,2:0:15,7.44,0.004307772517204285,0.0025361051493523576,0.017578125,0.13078125000000002,30.359367742305054
support_equal_root,systematic,2:0:16,10.36,0.0017584839276969433,0.0010352682566859151,0.0020904541015625,0.0216571044921875,12.315781879537246
support_equal_root,systematic,2:0:14,3.76,0.0012854447960853575,0.0007567770010000434,0.0003418736159801483,0.0012854447960853575,1.0
