subset_index,columns,support_mask,support_columns,rho,components,tau,root_count,support_rank,support_components,delta,complement_rank,contained_count,exact_support_count,exact_logq,asymptotic_root_weight_logq
43,2:5:6,6,5:6,2,2,2,2,1,1,1,1,1,1,0.0,-2.0
43,2:5:6,7,2:5:6,2,2,2,3,2,2,2,0,806,804,4.1564817241453405,1.1564817241453405
44,2:5:7,3,2:5,2,1,2,2,2,2,1,1,1,1,0.0,-2.0
44,2:5:7,5,2:7,2,1,2,2,2,2,1,1,1,1,0.0,-2.0
44,2:5:7,6,5:7,2,1,2,2,2,2,1,1,1,1,0.0,-2.0
44,2:5:7,7,2:5:7,2,1,2,3,2,1,2,0,806,803,4.155708438501582,1.1557084385015823
45,2:6:7,3,2:6,2,1,2,2,2,2,1,1,1,1,0.0,-2.0
45,2:6:7,5,2:7,2,1,2,2,2,2,1,1,1,1,0.0,-2.0
45,2:6:7,6,6:7,2,1,2,2,2,2,1,1,1,1,0.0,-2.0
45,2:6:7,7,2:6:7,2,1,2,3,2,1,2,0,806,803,4.155708438501582,1.1557084385015823
46,3:4:5,1,3,2,2,2,1,1,1,1,1,1,1,0.0,-1.0
46,3:4:5,6,4:5,2,2,2,2,1,1,1,1,1,1,0.0,-2.0
46,3:4:5,7,3:4:5,2,2,2,3,2,2,2,0,806,804,4.1564817241453405,1.1564817241453405
47,3:4:6,1,3,2,2,2,1,1,1,1,1,1,1,0.0,-1.0
47,3:4:6,6,4:6,2,2,2,2,1,1,1,1,1,1,0.0,-2.0
47,3:4:6,7,3:4:6,2,2,2,3,2,2,2,0,806,804,4.1564817241453405,1.1564817241453405
48,3:4:7,3,3:4,2,1,2,2,2,2,1,1,1,1,0.0,-2.0
48,3:4:7,5,3:7,2,1,2,2,2,2,1,1,1,1,0.0,-2.0
48,3:4:7,6,4:7,2,1,2,2,2,2,1,1,1,1,0.0,-2.0
48,3:4:7,7,3:4:7,2,1,2,3,2,1,2,0,806,803,4.155708438501582,1.1557084385015823
49,3:5:6,1,3,2,2,2,1,1,1,1,1,1,1,0.0,-1.0
49,3:5:6,6,5:6,2,2,2,2,1,1,1,1,1,1,0.0,-2.0
49,3:5:6,7,3:5:6,2,2,2,3,2,2,2,0,806,804,4.1564817241453405,1.1564817241453405
50,3:5:7,3,3:5,2,1,2,2,2,2,1,1,1,1,0.0,-2.0
50,3:5:7,5,3:7,2,1,2,2,2,2,1,1,1,1,0.0,-2.0
50,3:5:7,6,5:7,2,1,2,2,2,2,1,1,1,1,0.0,-2.0
50,3:5:7,7,3:5:7,2,1,2,3,2,1,2,0,806,803,4.155708438501582,1.1557084385015823
51,3:6:7,3,3:6,2,1,2,2,2,2,1,1,1,1,0.0,-2.0
51,3:6:7,5,3:7,2,1,2,2,2,2,1,1,1,1,0.0,-2.0
51,3:6:7,6,6:7,2,1,2,2,2,2,1,1,1,1,0.0,-2.0
51,3:6:7,7,3:6:7,2,1,2,3,2,1,2,0,806,803,4.155708438501582,1.1557084385015823
52,4:5:6,7,4:5:6,1,1,2,3,1,1,1,0,1,1,0.0,-3.0
53,4:5:7,3,4:5,2,2,2,2,1,1,1,1,1,1,0.0,-2.0
53,4:5:7,4,7,2,2,2,1,1,1,1,1,1,1,0.0,-1.0
53,4:5:7,7,4:5:7,2,2,2,3,2,2,2,0,806,804,4.1564817241453405,1.1564817241453405
54,4:6:7,3,4:6,2,2,2,2,1,1,1,1,1,1,0.0,-2.0
54,4:6:7,4,7,2,2,2,1,1,1,1,1,1,1,0.0,-1.0
54,4:6:7,7,4:6:7,2,2,2,3,2,2,2,0,806,804,4.1564817241453405,1.1564817241453405
55,5:6:7,3,5:6,2,2,2,2,1,1,1,1,1,1,0.0,-2.0
55,5:6:7,4,7,2,2,2,1,1,1,1,1,1,1,0.0,-1.0
55,5:6:7,7,5:6:7,2,2,2,3,2,2,2,0,806,804,4.1564817241453405,1.1564817241453405
