"subset_index","columns","support_mask","support_columns","rho","components","tau","root_count","support_rank","support_components","delta","generic_kernel_dim","complement_rank","generic_endpoint_logq","component_endpoint_logq","endpoint_bound_logq","endpoint_root_weight_logq","line_assignments","kernel_profile","contained_root_line_count","contained_root_line_logq","exact_root_line_count","exact_root_line_logq","asymptotic_root_weight_logq","endpoint_excess_logq","projective_line_factor_logq","nonzero_root_normalization_logq","exceptional_kappa3_count","residual_endpoint_excess_logq"
"0","0:6:12:13:14","31","0:6:12:13:14","4","4","2","5","4","4","4","3","0","7","8","8","3","248832","3:228096;4:20736","366799104","8.224014234192","325555200","8.174269665919882","3.1742696659198817","0.17426966591988169","0.18143281313550919","0.19873716105436257","NA","-0.20590030826999006"
"1","0:4:7:11:14","7","0:4:7","4","2","2","3","3","3","2","1","2","-Infinity","3","3","0","1728","1:1584;2:144","144","2.0725731252542037","144","2.0725731252542037","-0.9274268747457963","-0.92742687474579633","0.10885968788130551","0.11924229663261754","NA","-1.1555288592597193"
"1","0:4:7:11:14","11","0:4:11","4","2","2","3","3","3","2","1","2","-Infinity","3","3","0","1728","1:1584;2:144","144","2.0725731252542037","144","2.0725731252542037","-0.9274268747457963","-0.92742687474579633","0.10885968788130551","0.11924229663261754","NA","-1.1555288592597193"
"1","0:4:7:11:14","13","0:7:11","4","2","2","3","3","3","2","1","2","-Infinity","3","3","0","1728","1:1584;2:144","144","2.0725731252542037","144","2.0725731252542037","-0.9274268747457963","-0.92742687474579633","0.10885968788130551","0.11924229663261754","NA","-1.1555288592597193"
"1","0:4:7:11:14","14","4:7:11","4","2","2","3","3","3","2","1","2","-Infinity","3","3","0","1728","1:1716;2:12","12","1.0362865626271018","12","1.0362865626271018","-1.9637134373728982","-1.9637134373728982","0.10885968788130551","0.11924229663261754","NA","-2.1918154218868211"
"1","0:4:7:11:14","19","0:4:14","4","2","2","3","3","3","2","1","2","-Infinity","3","3","0","1728","1:1584;2:144","144","2.0725731252542037","144","2.0725731252542037","-0.9274268747457963","-0.92742687474579633","0.10885968788130551","0.11924229663261754","NA","-1.1555288592597193"
"1","0:4:7:11:14","21","0:7:14","4","2","2","3","3","3","2","1","2","-Infinity","3","3","0","1728","1:1584;2:144","144","2.0725731252542037","144","2.0725731252542037","-0.9274268747457963","-0.92742687474579633","0.10885968788130551","0.11924229663261754","NA","-1.1555288592597193"
"1","0:4:7:11:14","22","4:7:14","4","2","2","3","3","3","2","1","2","-Infinity","3","3","0","1728","1:1716;2:12","12","1.0362865626271018","12","1.0362865626271018","-1.9637134373728982","-1.9637134373728982","0.10885968788130551","0.11924229663261754","NA","-2.1918154218868211"
"1","0:4:7:11:14","25","0:11:14","4","2","2","3","3","3","2","1","2","-Infinity","3","3","0","1728","1:1584;2:144","144","2.0725731252542037","144","2.0725731252542037","-0.9274268747457963","-0.92742687474579633","0.10885968788130551","0.11924229663261754","NA","-1.1555288592597193"
"1","0:4:7:11:14","26","4:11:14","4","2","2","3","3","3","2","1","2","-Infinity","3","3","0","1728","1:1716;2:12","12","1.0362865626271018","12","1.0362865626271018","-1.9637134373728982","-1.9637134373728982","0.10885968788130551","0.11924229663261754","NA","-2.1918154218868211"
"1","0:4:7:11:14","28","7:11:14","4","2","2","3","3","3","2","1","2","-Infinity","3","3","0","1728","1:1716;2:12","12","1.0362865626271018","12","1.0362865626271018","-1.9637134373728982","-1.9637134373728982","0.10885968788130551","0.11924229663261754","NA","-2.1918154218868211"
"1","0:4:7:11:14","15","0:4:7:11","4","2","2","4","4","4","3","2","1","4","6","6","2","20736","2:20592;3:144","39744","4.416462339047131","34416","4.3564358168639234","0.35643581686392345","-1.6435641831360766","0.14514625050840735","0.15898972884349005","NA","-1.947700162487974"
"1","0:4:7:11:14","23","0:4:7:14","4","2","2","4","4","4","3","2","1","4","6","6","2","20736","2:20592;3:144","39744","4.416462339047131","34416","4.3564358168639234","0.35643581686392345","-1.6435641831360766","0.14514625050840735","0.15898972884349005","NA","-1.947700162487974"
"1","0:4:7:11:14","27","0:4:11:14","4","2","2","4","4","4","3","2","1","4","6","6","2","20736","2:20592;3:144","39744","4.416462339047131","34416","4.3564358168639234","0.35643581686392345","-1.6435641831360766","0.14514625050840735","0.15898972884349005","NA","-1.947700162487974"
"1","0:4:7:11:14","29","0:7:11:14","4","2","2","4","4","4","3","2","1","4","6","6","2","20736","2:20592;3:144","39744","4.416462339047131","34416","4.3564358168639234","0.35643581686392345","-1.6435641831360766","0.14514625050840735","0.15898972884349005","NA","-1.947700162487974"
"1","0:4:7:11:14","30","4:7:11:14","4","2","2","4","3","1","3","2","1","4","3","4","0","20736","2:20724;3:12","22320","4.1758447627321456","21744","4.164941334045784","0.1649413340457837","0.16494133404578371","0.14514625050840735","0.15898972884349005","NA","-0.1391946453061137"
"1","0:4:7:11:14","31","0:4:7:11:14","4","2","2","5","4","2","4","3","0","7","6","7","2","248832","3:248688;4:144","35412048","7.249091674841677","33367824","7.224294920984705","2.224294920984705","0.22429492098470494","0.18143281313550919","0.19873716105436257","NA","-0.15587505320516681"
"2","0:1:5:7:9","7","0:1:5","4","1","2","3","3","3","2","1","2","-Infinity","3","3","0","1728","1:1716;2:12","12","1.0362865626271018","12","1.0362865626271018","-1.9637134373728982","-1.9637134373728982","0.10885968788130551","0.11924229663261754","NA","-2.1918154218868211"
"2","0:1:5:7:9","11","0:1:7","4","1","2","3","3","3","2","1","2","-Infinity","3","3","0","1728","1:1716;2:12","12","1.0362865626271018","12","1.0362865626271018","-1.9637134373728982","-1.9637134373728982","0.10885968788130551","0.11924229663261754","NA","-2.1918154218868211"
"2","0:1:5:7:9","13","0:5:7","4","1","2","3","3","3","2","1","2","-Infinity","3","3","0","1728","1:1716;2:12","12","1.0362865626271018","12","1.0362865626271018","-1.9637134373728982","-1.9637134373728982","0.10885968788130551","0.11924229663261754","NA","-2.1918154218868211"
"2","0:1:5:7:9","14","1:5:7","4","1","2","3","3","3","2","1","2","-Infinity","3","3","0","1728","1:1716;2:12","12","1.0362865626271018","12","1.0362865626271018","-1.9637134373728982","-1.9637134373728982","0.10885968788130551","0.11924229663261754","NA","-2.1918154218868211"
"2","0:1:5:7:9","19","0:1:9","4","1","2","3","3","3","2","1","2","-Infinity","3","3","0","1728","1:1716;2:12","12","1.0362865626271018","12","1.0362865626271018","-1.9637134373728982","-1.9637134373728982","0.10885968788130551","0.11924229663261754","NA","-2.1918154218868211"
"2","0:1:5:7:9","21","0:5:9","4","1","2","3","3","3","2","1","2","-Infinity","3","3","0","1728","1:1716;2:12","12","1.0362865626271018","12","1.0362865626271018","-1.9637134373728982","-1.9637134373728982","0.10885968788130551","0.11924229663261754","NA","-2.1918154218868211"
"2","0:1:5:7:9","22","1:5:9","4","1","2","3","3","3","2","1","2","-Infinity","3","3","0","1728","1:1716;2:12","12","1.0362865626271018","12","1.0362865626271018","-1.9637134373728982","-1.9637134373728982","0.10885968788130551","0.11924229663261754","NA","-2.1918154218868211"
