depth,k,output_weight_bound,zero_count,log2_union_tail
11,2048,320,1728,-219908.82713654
11,2048,321,1727,-219778.39867852
11,2048,322,1726,-219647.97554303
11,2048,323,1725,-219517.55771664
11,2048,324,1724,-219387.14518600
11,2048,325,1723,-219256.73793784
11,2048,326,1722,-219126.33595901
11,2048,327,1721,-218995.93923641
11,2048,328,1720,-218865.54775703
11,2048,329,1719,-218735.16150796
11,2048,330,1718,-218604.78047634
11,2048,331,1717,-218474.40464943
11,2048,332,1716,-218344.03401454
11,2048,333,1715,-218213.66855906
11,2048,334,1714,-218083.30827050
11,2048,335,1713,-217952.95313639
11,2048,336,1712,-217822.60314437
11,2048,337,1711,-217692.25828217
11,2048,338,1710,-217561.91853756
11,2048,339,1709,-217431.58389841
11,2048,340,1708,-217301.25435267
11,2048,341,1707,-217170.92988834
11,2048,342,1706,-217040.61049351
11,2048,343,1705,-216910.29615634
11,2048,344,1704,-216779.98686508
11,2048,345,1703,-216649.68260801
11,2048,346,1702,-216519.38337351
11,2048,347,1701,-216389.08915005
11,2048,348,1700,-216258.79992612
11,2048,349,1699,-216128.51569031
11,2048,350,1698,-215998.23643129
11,2048,351,1697,-215867.96213776
11,2048,352,1696,-215737.69279853
11,2048,353,1695,-215607.42840245
11,2048,354,1694,-215477.16893844
11,2048,355,1693,-215346.91439550
11,2048,356,1692,-215216.66476267
11,2048,357,1691,-215086.42002908
11,2048,358,1690,-214956.18018391
11,2048,359,1689,-214825.94521642
11,2048,360,1688,-214695.71511590
11,2048,361,1687,-214565.48987174
11,2048,362,1686,-214435.26947337
11,2048,363,1685,-214305.05391028
11,2048,364,1684,-214174.84317205
11,2048,365,1683,-214044.63724828
11,2048,366,1682,-213914.43612866
11,2048,367,1681,-213784.23980292
11,2048,368,1680,-213654.04826087
11,2048,369,1679,-213523.86149235
11,2048,370,1678,-213393.67948730
11,2048,371,1677,-213263.50223568
11,2048,372,1676,-213133.32972751
11,2048,373,1675,-213003.16195290
11,2048,374,1674,-212872.99890198
11,2048,375,1673,-212742.84056495
11,2048,376,1672,-212612.68693207
11,2048,377,1671,-212482.53799366
11,2048,378,1670,-212352.39374006
11,2048,379,1669,-212222.25416171
11,2048,380,1668,-212092.11924908
11,2048,381,1667,-211961.98899270
11,2048,382,1666,-211831.86338313
11,2048,383,1665,-211701.74241103
11,2048,384,1664,-211571.62606707
11,2048,385,1663,-211441.51434199
11,2048,386,1662,-211311.40722657
11,2048,387,1661,-211181.30471166
11,2048,388,1660,-211051.20678814
11,2048,389,1659,-210921.11344696
11,2048,390,1658,-210791.02467911
11,2048,391,1657,-210660.94047561
11,2048,392,1656,-210530.86082757
11,2048,393,1655,-210400.78572611
11,2048,394,1654,-210270.71516243
11,2048,395,1653,-210140.64912776
