subset_index,columns,support_mask,support_columns,rho,components,tau,root_count,support_rank,support_components,delta,complement_rank,line_assignments,kernel_profile,contained_root_line_count,contained_root_line_logq,exact_root_line_count,exact_root_line_logq,asymptotic_root_weight_logq
39,2:3:7,5,2:7,2,1,1,2,2,2,1,1,36,0:30;1:6,6,1.1132827525593785,6,1.1132827525593785,-0.8867172474406215
39,2:3:7,6,3:7,2,1,1,2,2,2,1,1,36,0:30;1:6,6,1.1132827525593785,6,1.1132827525593785,-0.8867172474406215
39,2:3:7,7,2:3:7,2,1,1,3,2,1,2,0,216,1:210;2:6,246,3.420654809607502,138,3.0614748460257584,0.06147484602575837
40,2:4:5,1,2,2,2,1,1,1,1,1,1,6,1:6,6,1.1132827525593785,6,1.1132827525593785,0.11328275255937847
40,2:4:5,6,4:5,2,2,1,2,1,1,1,1,36,0:30;1:6,6,1.1132827525593785,6,1.1132827525593785,-0.8867172474406215
40,2:4:5,7,2:4:5,2,2,1,3,2,2,2,0,216,1:180;2:36,396,3.716461607523735,144,3.087918621265543,0.08791862126554317
41,2:4:6,1,2,2,2,1,1,1,1,1,1,6,1:6,6,1.1132827525593785,6,1.1132827525593785,0.11328275255937847
41,2:4:6,6,4:6,2,2,1,2,1,1,1,1,36,0:30;1:6,6,1.1132827525593785,6,1.1132827525593785,-0.8867172474406215
41,2:4:6,7,2:4:6,2,2,1,3,2,2,2,0,216,1:180;2:36,396,3.716461607523735,144,3.087918621265543,0.08791862126554317
42,2:4:7,3,2:4,2,1,1,2,2,2,1,1,36,0:30;1:6,6,1.1132827525593785,6,1.1132827525593785,-0.8867172474406215
42,2:4:7,5,2:7,2,1,1,2,2,2,1,1,36,0:30;1:6,6,1.1132827525593785,6,1.1132827525593785,-0.8867172474406215
42,2:4:7,6,4:7,2,1,1,2,2,2,1,1,36,0:30;1:6,6,1.1132827525593785,6,1.1132827525593785,-0.8867172474406215
42,2:4:7,7,2:4:7,2,1,1,3,2,1,2,0,216,1:210;2:6,246,3.420654809607502,138,3.0614748460257584,0.06147484602575837
43,2:5:6,1,2,2,2,1,1,1,1,1,1,6,1:6,6,1.1132827525593785,6,1.1132827525593785,0.11328275255937847
43,2:5:6,6,5:6,2,2,1,2,1,1,1,1,36,0:30;1:6,6,1.1132827525593785,6,1.1132827525593785,-0.8867172474406215
43,2:5:6,7,2:5:6,2,2,1,3,2,2,2,0,216,1:180;2:36,396,3.716461607523735,144,3.087918621265543,0.08791862126554317
44,2:5:7,3,2:5,2,1,1,2,2,2,1,1,36,0:30;1:6,6,1.1132827525593785,6,1.1132827525593785,-0.8867172474406215
44,2:5:7,5,2:7,2,1,1,2,2,2,1,1,36,0:30;1:6,6,1.1132827525593785,6,1.1132827525593785,-0.8867172474406215
44,2:5:7,6,5:7,2,1,1,2,2,2,1,1,36,0:30;1:6,6,1.1132827525593785,6,1.1132827525593785,-0.8867172474406215
44,2:5:7,7,2:5:7,2,1,1,3,2,1,2,0,216,1:210;2:6,246,3.420654809607502,138,3.0614748460257584,0.06147484602575837
45,2:6:7,3,2:6,2,1,1,2,2,2,1,1,36,0:30;1:6,6,1.1132827525593785,6,1.1132827525593785,-0.8867172474406215
45,2:6:7,5,2:7,2,1,1,2,2,2,1,1,36,0:30;1:6,6,1.1132827525593785,6,1.1132827525593785,-0.8867172474406215
45,2:6:7,6,6:7,2,1,1,2,2,2,1,1,36,0:30;1:6,6,1.1132827525593785,6,1.1132827525593785,-0.8867172474406215
45,2:6:7,7,2:6:7,2,1,1,3,2,1,2,0,216,1:210;2:6,246,3.420654809607502,138,3.0614748460257584,0.06147484602575837
46,3:4:5,1,3,2,2,1,1,1,1,1,1,6,1:6,6,1.1132827525593785,6,1.1132827525593785,0.11328275255937847
46,3:4:5,6,4:5,2,2,1,2,1,1,1,1,36,0:30;1:6,6,1.1132827525593785,6,1.1132827525593785,-0.8867172474406215
46,3:4:5,7,3:4:5,2,2,1,3,2,2,2,0,216,1:180;2:36,396,3.716461607523735,144,3.087918621265543,0.08791862126554317
47,3:4:6,1,3,2,2,1,1,1,1,1,1,6,1:6,6,1.1132827525593785,6,1.1132827525593785,0.11328275255937847
47,3:4:6,6,4:6,2,2,1,2,1,1,1,1,36,0:30;1:6,6,1.1132827525593785,6,1.1132827525593785,-0.8867172474406215
47,3:4:6,7,3:4:6,2,2,1,3,2,2,2,0,216,1:180;2:36,396,3.716461607523735,144,3.087918621265543,0.08791862126554317
48,3:4:7,3,3:4,2,1,1,2,2,2,1,1,36,0:30;1:6,6,1.1132827525593785,6,1.1132827525593785,-0.8867172474406215
48,3:4:7,5,3:7,2,1,1,2,2,2,1,1,36,0:30;1:6,6,1.1132827525593785,6,1.1132827525593785,-0.8867172474406215
48,3:4:7,6,4:7,2,1,1,2,2,2,1,1,36,0:30;1:6,6,1.1132827525593785,6,1.1132827525593785,-0.8867172474406215
48,3:4:7,7,3:4:7,2,1,1,3,2,1,2,0,216,1:210;2:6,246,3.420654809607502,138,3.0614748460257584,0.06147484602575837
49,3:5:6,1,3,2,2,1,1,1,1,1,1,6,1:6,6,1.1132827525593785,6,1.1132827525593785,0.11328275255937847
49,3:5:6,6,5:6,2,2,1,2,1,1,1,1,36,0:30;1:6,6,1.1132827525593785,6,1.1132827525593785,-0.8867172474406215
