shape,columns,is_bad,deficient_samples,full_child_blocks_level_0,full_child_blocks_level_1,full_child_blocks_level_2,sibling_groups_level_1,sibling_groups_level_2,sibling_groups_level_3,dead_sibling_groups_level_1,dead_sibling_groups_level_2,dead_sibling_groups_level_3,one_live_sibling_groups_level_1,one_live_sibling_groups_level_2,one_live_sibling_groups_level_3,singleton_groups_level_1,singleton_groups_level_2,singleton_groups_level_3,zero_singleton_groups_level_1,zero_singleton_groups_level_2,zero_singleton_groups_level_3
74,0:1:2:3:6:7:14:28:42,,5,6,3,1,0,1,1,0,1,1,0,1,1,2,1,1,1,1,0
75,0:1:2:3:6:7:14:28:56,,5,6,3,1,0,1,1,0,1,1,0,1,1,2,1,1,1,1,0
76,0:1:2:3:6:7:14:42:56,,5,6,3,1,0,1,1,0,1,1,0,1,1,2,1,1,1,1,0
77,0:1:2:3:6:7:15:29:43,,5,6,3,1,0,1,1,0,1,1,0,1,1,2,1,1,1,1,0
78,0:1:2:3:6:7:15:29:57,,5,6,3,1,0,1,1,0,1,1,0,1,1,2,1,1,1,1,0
79,0:1:2:3:6:7:15:43:57,,5,6,3,1,0,1,1,0,1,1,0,1,1,2,1,1,1,1,0
80,0:1:2:3:6:7:16:30:44,,5,6,3,1,0,1,1,0,1,1,0,1,1,2,1,1,1,1,0
81,0:1:2:3:6:7:16:30:58,,5,6,3,1,0,1,1,0,1,1,0,1,1,2,1,1,1,1,0
82,0:1:2:3:6:7:16:44:58,,5,6,3,1,0,1,1,0,1,1,0,1,1,2,1,1,1,1,0
83,0:1:2:3:6:7:17:31:45,,5,6,3,1,0,1,1,0,1,1,0,1,1,2,1,1,1,1,0
84,0:1:2:3:6:7:17:31:59,,5,6,3,1,0,1,1,0,1,1,0,1,1,2,1,1,1,1,0
85,0:1:2:3:6:7:17:45:59,,5,6,3,1,0,1,1,0,1,1,0,1,1,2,1,1,1,1,0
86,0:1:2:3:6:7:18:32:46,,5,6,3,1,0,1,1,0,1,1,0,1,1,2,1,1,1,1,0
87,0:1:2:3:6:7:18:32:60,,5,6,3,1,0,1,1,0,1,1,0,1,1,2,1,1,1,1,0
88,0:1:2:3:6:7:18:46:60,,5,6,3,1,0,1,1,0,1,1,0,1,1,2,1,1,1,1,0
89,0:1:2:3:6:7:19:33:47,,5,6,3,1,0,1,1,0,1,1,0,1,1,2,1,1,1,1,0
90,0:1:2:3:6:7:19:33:61,,5,6,3,1,0,1,1,0,1,1,0,1,1,2,1,1,1,1,0
91,0:1:2:3:6:7:19:47:61,,5,6,3,1,0,1,1,0,1,1,0,1,1,2,1,1,1,1,0
92,0:1:2:3:6:7:20:34:48,,5,6,3,1,0,1,1,0,1,1,0,1,1,2,1,1,1,1,0
