ensemble,mode,cutoff,cumulative_expected_count
original,full,29,222.3201671200183
original,full,30,293.22983163425556
original,full,31,381.4336876220657
original,full,32,504.3451554503614
original,full,33,664.1219485640913
original,full,34,888.5895319403894
original,full,35,1182.9710486252427
original,full,36,1591.1002272677538
original,full,37,2131.864558960999
original,full,38,2885.592395690873
original,full,39,3927.2847024663024
original,full,40,5438.872623469739
original,full,41,7639.7331259032235
original,full,42,10913.354740526076
original,full,43,15718.933484558436
original,full,44,22709.018686098178
original,full,45,32560.215863261106
original,full,46,46119.27247035189
original,full,47,64130.7004750857
original,full,48,87396.96150114635
original,full,49,116292.46601889833
original,full,50,150894.48620832086
original,full,51,190145.14968756816
original,full,52,232145.00779534667
original,full,53,273573.12342099275
original,full,54,311063.8460051254
original,full,55,341460.8133627369
original,full,56,363505.5911130748
original,full,57,377417.93846344453
original,full,58,385097.73035589466
original,full,59,388649.9170800702
original,full,60,390057.882372616
original,full,61,390488.03239229595
original,full,62,390599.4799975521
original,full,63,390616.1884067763
original,full,64,390624.0000000028
systematic,exact,0,0.0
systematic,exact,1,0.0
systematic,exact,2,0.0
systematic,exact,3,0.0
systematic,exact,4,0.0
systematic,exact,5,0.0
systematic,exact,6,0.0
systematic,exact,7,0.0
systematic,exact,8,0.0
systematic,exact,9,0.0
systematic,exact,10,0.0
systematic,exact,11,0.0
systematic,exact,12,1.2969970703125e-06
systematic,exact,13,3.414154052734375e-05
systematic,exact,14,0.0005253267288208008
systematic,exact,15,0.004360206127166748
systematic,exact,16,0.02334501251578331
systematic,exact,17,0.0911390265636146
systematic,exact,18,0.2823788921907545
systematic,exact,19,0.7388335795351303
systematic,exact,20,1.6985780413341127
systematic,exact,21,3.5046242570604225
systematic,exact,22,6.59572212775995
systematic,exact,23,11.558438529939107
systematic,exact,24,19.341799592116107
systematic,exact,25,31.003774742974308
systematic,exact,26,48.314917749405026
systematic,exact,27,72.28106175236725
systematic,exact,28,105.50642629101304
systematic,exact,29,147.1965536514638
systematic,exact,30,201.17791340364352
systematic,exact,31,266.96420822182495
systematic,exact,32,354.0619163197126
systematic,exact,33,463.40850818853426
systematic,exact,34,617.2717770188553
systematic,exact,35,819.070244583072
systematic,exact,36,1109.7828640547111
systematic,exact,37,1502.466410751215
systematic,exact,38,2076.162194951713
systematic,exact,39,2893.952676032439
systematic,exact,40,4135.251410650161
systematic,exact,41,6011.119220666875
systematic,exact,42,8917.100483918826
systematic,exact,43,13333.983049899476
systematic,exact,44,19974.30754982874
systematic,exact,45,29608.417821594798
systematic,exact,46,43192.168930734566
systematic,exact,47,61579.06157681216
systematic,exact,48,85634.29637691028
systematic,exact,49,115711.87394535408
systematic,exact,50,151762.08887142793
systematic,exact,51,192494.566661302
systematic,exact,52,235727.5426870703
systematic,exact,53,277863.67247428885
systematic,exact,54,315400.9092234711
systematic,exact,55,345220.755254577
systematic,exact,56,366309.27938824677
systematic,exact,57,379204.0042768937
systematic,exact,58,386056.38240889774
systematic,exact,59,389078.4515218531
systematic,exact,60,390210.3460501988
systematic,exact,61,390531.62756887666
systematic,exact,62,390608.10809171165
systematic,exact,63,390618.2239270146
systematic,exact,64,390623.99999999435
systematic,support,0,0.0
systematic,support,1,0.0
systematic,support,2,0.0
systematic,support,3,0.0
systematic,support,4,0.0
systematic,support,5,0.0
systematic,support,6,0.0
systematic,support,7,0.0
systematic,support,8,0.0
systematic,support,9,0.0
systematic,support,10,0.0
systematic,support,11,0.0
systematic,support,12,0.2738647460937621
systematic,support,13,6.849182128906553
systematic,support,14,75.92846679687835
systematic,support,15,490.75024414064666
systematic,support,16,2304.408325225209
systematic,support,17,8099.508668363382
systematic,support,18,20914.322051019117
systematic,support,19,40146.51138281928
systematic,support,20,59988.430428416934
systematic,support,21,74440.0479258911
systematic,support,22,81890.65724775365
systematic,support,23,85206.56287217315
systematic,support,24,89685.4910491425
systematic,support,25,99781.04367691468
systematic,support,26,117741.21604362337
systematic,support,27,142165.47075355286
systematic,support,28,168433.85095176357
systematic,support,29,192516.57654947325
systematic,support,30,214592.52769151633
systematic,support,31,238319.82617187826
systematic,support,32,266778.1164971625
systematic,support,33,298907.62543976685
systematic,support,34,330386.45401680877
systematic,support,35,356362.25000000425
systematic,support,36,374148.5000000044
systematic,support,37,384099.8750000045
systematic,support,38,388562.37500000454
systematic,support,39,390125.84375000454
systematic,support,40,390537.78125000454
systematic,support,41,390614.50000000454
systematic,support,42,390623.50000000454
systematic,support,43,390624.00000000454
systematic,support,44,390624.00000000454
systematic,support,45,390624.00000000454
systematic,support,46,390624.00000000454
systematic,support,47,390624.00000000454
systematic,support,48,390624.00000000454
systematic,support,49,390624.00000000454
systematic,support,50,390624.00000000454
systematic,support,51,390624.00000000454
systematic,support,52,390624.00000000454
systematic,support,53,390624.00000000454
systematic,support,54,390624.00000000454
systematic,support,55,390624.00000000454
systematic,support,56,390624.00000000454
systematic,support,57,390624.00000000454
systematic,support,58,390624.00000000454
systematic,support,59,390624.00000000454
systematic,support,60,390624.00000000454
systematic,support,61,390624.00000000454
systematic,support,62,390624.00000000454
systematic,support,63,390624.00000000454
systematic,support,64,390624.00000000454
systematic,support_active,0,0.0
systematic,support_active,1,0.0
systematic,support_active,2,0.0
systematic,support_active,3,0.0
systematic,support_active,4,0.0
systematic,support_active,5,0.0
systematic,support_active,6,0.0
systematic,support_active,7,0.0
systematic,support_active,8,0.0
systematic,support_active,9,0.0
systematic,support_active,10,0.0
systematic,support_active,11,0.0
systematic,support_active,12,1.2969970703125e-06
systematic,support_active,13,3.414154052734375e-05
systematic,support_active,14,0.0018131685256958007
systematic,support_active,15,0.01924389600753785
systematic,support_active,16,0.1048810099065304
systematic,support_active,17,0.3765878189913929
systematic,support_active,18,1.0157654116116461
systematic,support_active,19,2.2655962178367193
systematic,support_active,20,4.515465078758715
systematic,support_active,21,8.473344186219693
systematic,support_active,22,15.279545404641468
systematic,support_active,23,26.427720711869707
systematic,support_active,24,43.56198686695107
systematic,support_active,25,68.38382686205597
